YTR064;YTR063;YTR062;YTR061;YPR066;YPR064
23.321;21.779;21.766;21.798;2.349;0.305
23.276;21.772;21.753;21.792;2.279;0.303
23.269;21.76;21.74;21.779;2.282;0.298
23.257;21.772;21.747;21.785;2.325;0.298
23.257;21.772;21.753;21.785;2.269;0.3
23.237;21.76;21.747;21.779;2.269;0.303
23.147;21.747;21.721;21.766;2.295;0.293
23.115;21.747;21.715;21.753;2.31;0.29
23.089;21.74;21.721;21.76;2.295;0.293
23.051;21.727;21.715;21.747;2.259;0.29
23.032;21.734;21.708;21.747;2.292;0.287
22.967;21.708;21.689;21.721;2.292;0.28
23.089;21.727;21.702;21.734;2.323;0.282
23.167;21.74;21.715;21.753;2.302;0.287
23.224;21.747;21.734;21.76;2.323;0.293
23.237;21.753;21.734;21.766;2.277;0.295
23.237;21.76;21.74;21.772;2.282;0.295
23.257;21.76;21.74;21.779;2.269;0.295
23.257;21.766;21.74;21.779;2.266;0.298
23.205;21.772;21.753;21.785;2.323;0.305
23.083;21.747;21.727;21.76;2.277;0.295
22.948;21.715;21.695;21.727;2.315;0.282
22.91;21.702;21.676;21.708;2.271;0.277
22.974;21.708;21.682;21.715;2.351;0.277
23.038;21.734;21.708;21.74;2.346;0.285
23.199;21.747;21.721;21.753;2.318;0.29
23.263;21.753;21.727;21.766;2.331;0.293
23.321;21.766;21.747;21.785;2.302;0.298
23.346;21.772;21.753;21.785;2.274;0.3
23.379;21.792;21.779;21.817;2.364;0.311
23.372;21.798;21.779;21.817;2.372;0.311
23.366;21.792;21.772;21.811;2.313;0.311
23.359;21.792;21.772;21.811;2.297;0.308
23.353;21.785;21.766;21.805;2.264;0.311
23.346;21.779;21.76;21.798;2.287;0.305
23.019;21.708;21.689;21.727;2.279;0.282
23.07;21.702;21.676;21.715;2.271;0.277
23.186;21.721;21.702;21.74;2.277;0.282
23.244;21.727;21.708;21.747;2.328;0.285
23.257;21.734;21.715;21.747;2.274;0.287
23.295;21.753;21.734;21.766;2.279;0.29
22.999;21.721;21.702;21.74;2.292;0.287
22.948;21.702;21.682;21.715;2.315;0.28
22.942;21.682;21.663;21.695;2.313;0.275
22.955;21.695;21.676;21.708;2.287;0.272
22.961;21.689;21.67;21.702;2.266;0.275
23.051;21.702;21.676;21.721;2.318;0.275
23.167;21.727;21.708;21.747;2.351;0.282
23.154;21.747;21.721;21.76;2.284;0.293
23.122;21.747;21.734;21.766;2.338;0.293
23.083;21.74;21.727;21.753;2.31;0.293
22.974;21.721;21.708;21.74;2.384;0.285
22.967;21.715;21.702;21.727;2.287;0.28
22.942;21.702;21.682;21.715;2.289;0.277
23.301;21.76;21.734;21.772;2.297;0.295
23.237;21.76;21.74;21.779;2.289;0.3
23.212;21.76;21.74;21.772;2.313;0.298
23.038;21.721;21.708;21.74;2.343;0.287
22.955;21.689;21.682;21.708;2.277;0.277
23.135;21.689;21.67;21.708;2.277;0.272
23.205;21.702;21.682;21.727;2.292;0.275
23.25;21.721;21.689;21.734;2.282;0.28
23.269;21.721;21.702;21.734;2.271;0.282
23.282;21.727;21.702;21.74;2.341;0.285
23.308;21.747;21.715;21.76;2.282;0.29
23.192;21.734;21.721;21.753;2.282;0.293
23.167;21.747;21.715;21.76;2.323;0.29
23.102;21.74;21.715;21.753;2.313;0.29
22.871;21.682;21.663;21.695;2.274;0.27
22.852;21.663;21.65;21.676;2.31;0.264
23.179;21.715;21.689;21.727;2.282;0.28
23.269;21.74;21.715;21.753;2.274;0.287
23.282;21.747;21.715;21.76;2.289;0.29
22.974;21.682;21.682;21.702;2.279;0.275
22.929;21.67;21.65;21.676;2.297;0.264
23.006;21.682;21.663;21.695;2.274;0.267
23.109;21.792;21.805;21.798;2.336;0.311
23.128;21.805;21.772;21.817;2.346;0.308
23.141;21.901;21.772;21.927;2.243;0.311
23.154;21.991;21.888;22.01;2.356;0.365
23.173;22.113;21.978;22.107;2.248;0.401
23.192;22.164;22.074;22.203;2.341;0.434
23.205;22.318;22.158;22.325;2.248;0.488
23.218;22.37;22.286;22.376;2.343;0.539
23.237;22.325;22.351;22.318;2.235;0.539
23.269;22.408;22.306;22.441;2.274;0.521
23.295;22.473;22.402;22.473;2.323;0.575
23.301;22.453;22.441;22.453;2.271;0.583
23.321;22.498;22.434;22.505;2.328;0.588
23.346;22.479;22.479;22.486;2.274;0.601
23.391;22.492;22.466;22.498;2.315;0.586
23.424;22.646;22.479;22.646;2.307;0.629
23.436;22.685;22.614;22.691;2.372;0.67
23.456;22.697;22.665;22.697;2.338;0.694
23.469;22.697;22.685;22.691;2.31;0.691
23.507;22.704;22.665;22.697;2.331;0.681
23.514;22.723;22.678;22.723;2.307;0.696
23.533;22.743;22.71;22.743;2.4;0.701
23.539;22.762;22.723;22.775;2.297;0.712
23.565;22.794;22.743;22.794;2.4;0.724
23.571;22.826;22.775;22.826;2.354;0.74
23.565;22.852;22.807;22.845;2.369;0.748
23.571;22.884;22.826;22.871;2.423;0.766
23.565;22.91;22.871;22.903;2.277;0.776
23.565;22.961;22.903;22.961;2.32;0.796
23.571;22.98;22.935;22.993;2.318;0.812
23.584;23.019;22.974;23.012;2.449;0.825
23.597;23.038;22.993;23.032;2.325;0.837
23.584;23.051;23.012;23.044;2.328;0.85
23.578;23.109;23.07;23.115;2.343;0.876
23.571;23.154;23.109;23.135;2.318;0.894
23.546;23.192;23.135;23.173;2.333;0.915
23.526;23.205;23.16;23.199;2.325;0.92
23.533;23.218;23.173;23.212;2.359;0.933
23.546;23.237;23.199;23.224;2.343;0.938
23.552;23.244;23.212;23.237;2.356;0.945
23.533;23.263;23.224;23.25;2.349;0.951
23.501;23.289;23.257;23.282;2.372;0.966
23.501;23.346;23.301;23.334;2.318;0.994
23.494;23.359;23.327;23.346;2.338;0.999
23.475;23.372;23.334;23.353;2.218;1.007
23.462;23.391;23.346;23.366;2.269;1.012
23.475;23.398;23.366;23.379;2.269;1.022
23.475;23.424;23.391;23.417;2.356;1.035
23.488;23.449;23.411;23.43;2.218;1.046
23.533;23.494;23.456;23.475;2.315;1.066
23.436;23.501;23.462;23.481;2.328;1.071
23.404;23.507;23.469;23.494;2.274;1.074
23.327;23.533;23.494;23.52;2.271;1.087
23.301;23.533;23.507;23.52;2.277;1.092
23.289;23.539;23.514;23.526;2.269;1.1
23.289;23.546;23.514;23.533;2.277;1.097
23.218;23.558;23.526;23.546;2.328;1.102
23.192;23.558;23.526;23.546;2.287;1.105
23.019;23.526;23.501;23.501;2.349;1.092
22.987;23.488;23.449;23.462;2.261;1.092
22.974;23.449;23.411;23.443;2.279;1.089
22.974;23.417;23.372;23.411;2.318;1.084
22.993;23.43;23.398;23.417;2.336;1.082
23.025;23.456;23.411;23.469;2.246;1.079
23.064;23.481;23.449;23.456;2.259;1.076
23.443;23.501;23.475;23.488;2.295;1.076
